Ticker          Short Name
AAL LN Equity   ANGLO AMER PLC
ABF LN Equity   ASSOC BRIT FOODS
ADM LN Equity   ADMIRAL GROUP
ADN LN Equity   ABERDEEN ASSET
AGK LN Equity   AGGREKO PLC
AHT LN Equity   ASHTEAD GROUP
ANTO LN Equity  ANTOFAGASTA PLC
ARM LN Equity   ARM HOLDINGS
AV/ LN Equity   AVIVA PLC
AZN LN Equity   ASTRAZENECA PLC
BA/ LN Equity   BAE SYSTEMS PLC
BAB LN Equity   BABCOCK INTL GRP
BARC LN Equity  BARCLAYS PLC
BATS LN Equity  BRIT AMER TOBACC
BDEV LN Equity  BARRATT DEV
BG/ LN Equity   BG GROUP PLC
BLND LN Equity  BRIT LAND CO PLC
BLT LN Equity   BHP BILLITON PLC
BNZL LN Equity  BUNZL PLC
BP/ LN Equity   BP PLC
BRBY LN Equity  BURBERRY GROUP
BT/A LN Equity  BT GROUP PLC
CCH LN Equity   COCA-COLA HBC AG
CCL LN Equity   CARNIVAL PLC
CNA LN Equity   CENTRICA PLC
CPG LN Equity   COMPASS GROUP
CPI LN Equity   CAPITA PLC
CRH LN Equity   CRH PLC
DC/ LN Equity   DIXONS CARPHONE
DGE LN Equity   DIAGEO PLC
DLG LN Equity   DIRECT LINE INSU
EXPN LN Equity  EXPERIAN PLC
EZJ LN Equity   EASYJET PLC
FLG LN Equity   FRIENDS LIFE GRO
FRES LN Equity  FRESNILLO PLC
GFS LN Equity   G4S PLC
GKN LN Equity   GKN PLC
GLEN LN Equity  GLENCORE PLC
GSK LN Equity   GLAXOSMITHKLINE
HIK LN Equity   HIKMA PHARMACEUT
HL/ LN Equity   HARGREAVES LANSD
HMSO LN Equity  HAMMERSON PLC
HSBA LN Equity  HSBC HLDGS PLC
IAG LN Equity   INTL CONS AIRLIN
IHG LN Equity   INTERCONTINENTAL
III LN Equity   3I GROUP PLC
IMT LN Equity   IMPERIAL TOBACCO
INTU LN Equity  INTU PROPERTIES
ITRK LN Equity  INTERTEK GROUP
ITV LN Equity   ITV PLC
JMAT LN Equity  JOHNSON MATTHEY
KGF LN Equity   KINGFISHER PLC
